Index,response_time,cost
61,180.19113540649414,3.362366586685181e-06
62,172.39127159118652,3.2168211278915407e-06
63,190.66705703735352,3.5578472843170165e-06
64,172.74885177612305,3.223493574142456e-06
65,182.65080451965332,3.408264012336731e-06
66,167.30732917785645,3.1219547624588017e-06
67,166.41535758972168,3.1053105726242065e-06
68,173.75383377075195,3.242246538162232e-06
69,172.9940891265869,3.2280697031021123e-06
70,171.03123664855957,3.191442875862122e-06
71,144.2882537841797,2.692418815612793e-06
72,156.7333698272705,2.924644680976868e-06
73,190.6972885131836,3.5584114036560063e-06
74,168.45736503601074,3.143414431571961e-06
75,174.7365951538086,3.2605848655700686e-06
76,184.32936668395996,3.439585982322693e-06
77,172.2731113433838,3.2146162576675417e-06
78,181.09593391418457,3.3792501268386843e-06
79,185.11614799499512,3.4542673215866093e-06
80,183.02712440490723,3.4152861413955692e-06
81,180.9378147125244,3.3762996225357054e-06
82,185.80665588378906,3.467152198791504e-06
83,185.78410148620605,3.466731333732605e-06
84,174.3715763092041,3.2537736139297487e-06
85,163.83428573608398,3.0571477718353275e-06
86,178.86552810668945,3.3376307544708254e-06
87,185.59842109680176,3.4632665376663206e-06
88,193.4530735015869,3.609834351539612e-06
89,190.8949851989746,3.5621004238128663e-06
90,168.84593963623047,3.1506652336120607e-06
91,159.9069595336914,2.9838638648986818e-06
92,172.9544162750244,3.2273294076919557e-06
93,184.67607498168945,3.4460555591583255e-06
94,175.5434513092041,3.2756408014297486e-06
95,168.93787384033203,3.152380725860596e-06
96,166.9382095336914,3.1150669898986817e-06
97,179.83927726745605,3.35580091381073e-06
98,153.36008071899414,2.861699106216431e-06
99,161.09485626220703,3.0060300178527835e-06
100,158.57696533203125,2.9590461730957033e-06
101,155.2682876586914,2.897306247711182e-06
102,171.64978981018066,3.2029850778579716e-06
103,218.46485137939453,4.076554126739502e-06
104,144.73462104797363,2.7007480287551883e-06
105,147.79367446899414,2.757829965591431e-06
106,155.59144020080566,2.9033362741470342e-06
107,175.81582069396973,3.2807232141494754e-06
108,158.86144638061523,2.9643545894622804e-06
109,157.84711837768555,2.9454272289276128e-06
110,159.979248046875,2.9852127685546875e-06
111,170.66783905029297,3.184661876678467e-06
112,169.10176277160645,3.1554388933181763e-06
113,152.62746810913086,2.8480285549163818e-06
114,152.41827964782715,2.8441250982284547e-06
115,159.98597145080566,2.985338227272034e-06
116,162.49494552612305,3.032155683517456e-06
117,183.49952697753906,3.4241011734008794e-06
118,143.806791305542,2.6834347257614137e-06
119,146.6972827911377,2.7373712968826294e-06
120,142.15903282165527,2.6526875524520875e-06
121,150.7920265197754,2.813779214859009e-06
