step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container,gpu_gpu_0
58,9.68 MB,6.70 GB,3.50 ms,402 ms,19%
59,9.68 MB,6.70 GB,3.57 ms,410 ms,29%
60,9.68 MB,6.70 GB,3.64 ms,419 ms,29%
61,9.68 MB,6.70 GB,3.70 ms,427 ms,18%
62,9.68 MB,6.70 GB,3.77 ms,436 ms,15%
63,9.68 MB,6.70 GB,3.84 ms,445 ms,43%
64,9.68 MB,6.70 GB,3.91 ms,453 ms,20%
65,9.68 MB,6.70 GB,3.98 ms,462 ms,18%
66,9.68 MB,6.70 GB,4.05 ms,470 ms,29%
67,9.68 MB,6.70 GB,4.12 ms,479 ms,43%
68,9.68 MB,6.70 GB,4.18 ms,483 ms,43%
69,9.68 MB,6.70 GB,4.18 ms,491 ms,43%
70,9.68 MB,6.70 GB,4.18 ms,500 ms,53%
71,9.68 MB,6.70 GB,3.90 ms,505 ms,39%
72,9.68 MB,6.70 GB,3.90 ms,505 ms,33%
