Index,AUTO_response_time,GPU_response_time,CPU_response_time,AUTO_cost,GPU_cost,CPU_cost
43,2363.1433486938477,677.139949798584,2043.5922622680664,0.0003632387641277313,8.150733575725555e-05,0.0003141205666332245
44,2247.5002765655518,728.4421920776367,2075.345230102539,0.0003454632675108909,8.768258666038515e-05,0.00031900131531906124
45,2250.95796585083,752.7619361877441,2304.96563911438,0.0003459947489309311,9.060995425891878e-05,0.00035429626838827133
46,2385.409688949585,802.8585910797119,2700.7840156555176,0.00036666132328844073,9.664008860826493e-05,0.0004151375110464096
47,2615.122604370117,798.3414173126221,2832.4674129486084,0.00040197049551773066,9.609635640192033e-05,0.0004353785660443306
48,2900.419044494629,834.4374179840088,3139.590263366699,0.0004458234113292693,0.00010044123200273515,0.0004825864193820953
49,3134.3539714813232,887.455940246582,3148.151111602783,0.0004817815489563941,0.0001068230715274811,0.00048390230736446377
50,3535.7415199279785,903.7025928497314,3530.038070678711,0.0005434788290281296,0.0001087786811013222,0.0005426021518440247
51,3719.5908069610596,970.9625244140625,3261.119604110718,0.0005717383029379844,0.0001168747590637207,0.0005012666943478584
52,4000.8763313293457,1003.2790184020996,3606.7225074768066,0.0006149747008886337,0.00012076469544506072,0.0005543893166242599
53,3417.6955223083496,1023.7836360931396,3720.3564834594727,0.0005159285831689835,0.00012323283627653123,0.0005718559950725555
54,2331.5342903137207,1549.1974353790283,3830.476942062378,0.00033266104854011533,0.00018647689529657365,0.0005887826107644081
55,1218.697738647461,1085.6849193572998,4194.904193878174,0.00014669464680099487,0.00013068389374303822,0.000644798723641014
56,1157.0347785949707,1119.2423820495605,4423.806457519531,0.00013927227629947667,0.00013472320552730563,0.0006799832905853272
57,1182.4904918670654,1171.7835426330566,4485.882234573364,0.00014233638050603867,0.00014104758502674102,0.0006895249582762719
58,1210.8563899993896,1188.6491775512695,4686.987969658591,0.00014575078366422658,0.00014307770150184633,0.0007204369208162221
59,1247.0850944519043,1263.4100914001465,4885.751814408735,0.00015011163281917572,0.00015207667270183563,0.0007509889113927668
60,1309.8707675933838,1278.5366535186768,5084.51565915888,0.00015766914429521563,0.00015389745698404317,0.0007815409019693114
61,1327.0822525024414,1310.088872909546,5283.279503909024,0.00015974089073371892,0.00015769539763212207,0.0008120928925458562
62,1403.7230491638184,1378.2115459442139,5521.176887858998,0.00016896614342784883,0.00016589532378530504,0.0008486600994328065
63,1423.3098030090332,1428.4852027893066,5830.607284199107,0.00017132380098819735,0.00017194676385974886,0.0008962226456542448
64,1468.1813716888428,1442.1478748321533,6478.3704670992765,0.00017672499171018601,0.0001735913396935463,0.0009957903244978297
65,1529.8214435577393,1467.0700550079346,6831.363218480891,0.00018414460716104512,0.00017659122252130512,0.0010500488403126977
66,1568.2476997375488,1545.7012176513672,6345.724530653521,0.00018876997561740878,0.00018605605556869508,0.0009754013176067524
67,1705.1502704620361,1585.8899593353271,6640.699208866466,0.00020524893805551526,0.00019089357440519336,0.0010207418753948644
68,1906.679344177246,2102.456569671631,7112.258273904974,0.0002295069926586151,0.00025307269729137424,0.0010932252192819335
69,1736.8094444274902,1641.7584419250488,7635.964272238993,0.00020905975282573702,0.00019761846365451817,0.0011737240682858554
70,1740.7275676727295,1679.972791671753,7657.433093677867,0.00020953137732076648,0.00020221832493352892,0.0011770240408292248
71,1825.5852699279785,1730.592441558838,7817.2164960341015,0.00021974569894123082,0.00020831141219043733,0.0012015843476054018
72,1833.4320068359375,1789.6693706512451,8481.628010489723,0.0002206902106628418,0.0002154225021452904,0.0013037110414923754
73,1900.7722854614258,1836.3947868347168,8848.910752209751,0.00022879596000099185,0.0002210468404912949,0.0013601660717221607
74,1921.030616760254,1891.1303043365479,8989.560374346645,0.00023123445533943182,0.00022763535473299028,0.001381785325140823
75,1978.2607078552246,1972.6963996887207,9203.873946449972,0.0002381232414045334,0.00023745346563053133,0.0014147274643088255
76,2019.916820526123,2009.2147827148438,9693.0561022325,0.00024313738768672947,0.00024184918339538577,0.0014899196534741573
77,2245.4586505889893,2107.5325965881348,9884.203981733943,0.00027028585777139665,0.00025368369865131377,0.001519300994032324
78,2129.9700260162354,2096.063470840454,10347.77423127905,0.0002563844920315743,0.0002523031599850655,0.0015905563770899026
79,2204.7385692596436,2148.2266426086426,10201.83405907123,0.0002653843815817833,0.0002585820409708023,0.001568123913219839
80,2247.742509841919,2233.2019805908203,10645.973671256721,0.0002705607659096719,0.00026881052240371704,0.0016363926130088708
81,2314.8223876953125,2261.056900024414,10879.236532496168,0.00027863517080688475,0.00027216341905593873,0.0016722474474099858
82,2361.662769317627,2295.053291320801,10961.899389539447,0.00028427334754276283,0.00027625556467628483,0.0016849535551661083
83,2410.865068435669,2361.880874633789,12114.829897880554,0.0002901958282876015,0.0002842996008796692,0.0018621705036032201
84,2465.060520172119,2414.242362976074,11248.925004686627,0.000296719334813118,0.0002906023532314301,0.0017290722624703815
85,3057.4541091918945,3006.4087867736816,12411.081835201807,0.0003680257511234284,0.0003618814256639481,0.00190770738888887
86,2535.665988922119,2513.734722137451,12609.477491038186,0.0003052181150865555,0.00030257824850368504,0.0019382027851474796
87,2607.9699993133545,2621.8494415283203,12807.873146874565,0.00031392134881734853,0.00031559201727676396,0.0019686981814060894
88,2671.412515640259,2658.210325241089,13006.268802710943,0.000321557924507618,0.0003199687768492699,0.001999193577664699
89,2710.0061893463135,2783.098793029785,13204.66445854732,0.00032620344501161583,0.00033500160171699527,0.0020296889739233083
90,2826.9391536712646,2814.518976211548,13403.060114383698,0.0003402786659274102,0.0003387836491665841,0.002060184370181918
91,2972.3156929016113,2938.922595447964,13827.624821662903,0.000357777639954567,0.00035375811281407153,0.0021254442113378047
92,2936.4068508148193,2945.1851357354058,14052.14956998825,0.0003534552926325798,0.0003545119347884708,0.0021599559104028944
93,2956.1891078948975,2990.5238612492876,14451.250505447388,0.00035583648291730884,0.00035996935717857683,0.002221301715192318
94,3053.48162651062,3082.3032834794785,14595.566856861115,0.0003675475833830834,0.00037101684623242495,0.0022434845815681214
95,3084.5624446868896,3131.66680071089,14739.883208274841,0.0003712887814669609,0.0003769587328015699,0.0022656674479439253
96,3236.199712753296,3284.332987467448,14884.199559688568,0.00038954135942411425,0.00039533516170145677,0.0022878503143197297
97,3195.7934856414795,3295.995517836677,15028.515911102295,0.0003846776618666649,0.0003967389804820008,0.0023100331806955336
98,3256.638240814209,3408.5298495822485,15041.391801834106,0.00039200154504680636,0.0004102847379942153,0.00231201233385992
99,3336.652708053589,3447.5721311569214,16372.123384475708,0.0004016328864684105,0.0004149842574273587,0.002516559085427761
100,3427.4673461914062,3438.8862133026123,15934.203100204468,0.0004125642444610596,0.00041393873349523556,0.0024492463585324285
