Index,AUTO-cpu-revision,AUTO-gpu-revision,CPU,GPU
46,3.3020000000000005,,3.404000000000001,0.4478000000000001
47,3.382,,3.5140000000000002,0.46340000000000003
48,3.4579999999999997,,3.594,0.4748
49,3.532,,3.72,0.5428
50,3.6100000000000003,,3.8,0.5571999999999999
51,3.5420000000000003,,3.878,0.5713999999999999
52,3.604,,3.9560000000000004,0.5860000000000001
53,3.696,,4.037999999999999,0.6006
54,3.6099999999999994,,4.1160000000000005,0.5888000000000001
55,3.658,,4.072,0.6006
56,3.7059999999999995,,4.138,0.6122
57,3.7840000000000003,,4.198,0.6646
58,3.832,,4.486,0.6828
59,3.8819999999999992,,4.566,0.6971999999999999
60,3.7640000000000002,,4.452,0.712
61,3.7959999999999994,,4.516,0.7266
62,3.946,,4.598,0.7416
63,4.029999999999999,,4.51,0.7622
64,3.9619999999999997,,4.672,0.7769999999999999
65,3.996,,4.723999999999999,0.7918000000000001
66,4.372,,4.593999999999999,0.8065999999999999
67,4.36,,4.568,0.8267999999999999
68,4.478,,4.516,0.8424000000000001
69,4.476,,4.684,0.8575999999999999
70,4.409999999999999,,4.648000000000001,0.8336
71,4.41,,4.611999999999999,0.8442000000000001
72,4.4079999999999995,,4.578,0.8221999999999999
73,4.784,,4.4,0.842
74,4.798,,4.41,0.8634000000000001
75,4.8759999999999994,0.197,4.392,0.8573999999999999
76,4.8919999999999995,0.212,4.5200000000000005,0.8513999999999999
77,4.914,0.1955,4.273999999999999,0.845
78,4.932,0.2085,4.256,0.8389999999999999
79,5.061999999999999,0.23575,4.2700000000000005,0.8328000000000001
80,4.862,0.2508,4.44,0.8276
81,4.468,0.2646,4.459999999999999,0.8799999999999999
82,4.452,0.2784,4.5840000000000005,0.9381999999999999
83,4.433999999999999,0.292,4.696000000000001,0.9427999999999999
84,4.048,0.3056,4.678,0.9427999999999999
85,4.032,0.32199999999999995,4.660000000000001,0.8977999999999999
86,4.0,0.3358,4.460000000000001,0.9031999999999998
87,3.9840000000000004,0.3498,5.0280000000000005,0.9063999999999999
88,3.624,0.3638,4.86,0.9095999999999999
