step,ram_queue-proxy,ram_user-container,cpu_queue-proxy,cpu_user-container
816,9.82 MB,10.2 GB,736 µs,5.51 s
817,9.82 MB,10.2 GB,736 µs,5.38 s
818,9.82 MB,10.2 GB,736 µs,5.38 s
819,9.82 MB,10.2 GB,736 µs,5.38 s
820,9.82 MB,10.2 GB,736 µs,5.38 s
821,9.82 MB,10.2 GB,748 µs,5.38 s
822,9.82 MB,10.2 GB,748 µs,5.38 s
823,9.82 MB,10.2 GB,632 µs,5.38 s
824,9.82 MB,10.2 GB,683 µs,4.37 s
825,9.82 MB,10.2 GB,683 µs,5.29 s
826,9.82 MB,10.2 GB,683 µs,5.29 s
827,9.82 MB,10.2 GB,683 µs,5.29 s
828,9.82 MB,10.2 GB,683 µs,5.29 s
829,9.82 MB,10.2 GB,683 µs,3.93 s
830,9.82 MB,10.2 GB,683 µs,3.93 s
831,9.82 MB,10.2 GB,683 µs,3.93 s
832,9.82 MB,10.2 GB,683 µs,3.93 s
833,9.82 MB,10.2 GB,683 µs,3.93 s
834,9.82 MB,10.2 GB,683 µs,3.93 s
835,9.82 MB,10.2 GB,683 µs,3.93 s
836,10.1 MB,10.2 GB,459 µs,3.93 s
837,10.1 MB,10.2 GB,469 µs,3.93 s
838,10.1 MB,10.2 GB,479 µs,3.93 s
839,10.1 MB,10.2 GB,488 µs,3.93 s
840,10.1 MB,10.2 GB,576 µs,3.14 s
841,10.1 MB,10.2 GB,576 µs,3.14 s
842,10.1 MB,10.2 GB,576 µs,3.14 s
843,10.1 MB,10.2 GB,576 µs,2.34 s
844,10.1 MB,10.2 GB,576 µs,2.34 s
845,10.1 MB,10.2 GB,576 µs,2.34 s
846,10.1 MB,10.2 GB,576 µs,2.34 s
847,10.1 MB,10.2 GB,576 µs,2.34 s
848,10.1 MB,10.2 GB,576 µs,2.34 s
849,10.1 MB,10.2 GB,576 µs,2.34 s
850,10.1 MB,10.2 GB,576 µs,2.34 s
851,10.1 MB,10.2 GB,495 µs,2.34 s
852,10.1 MB,10.2 GB,485 µs,2.34 s
853,10.1 MB,10.2 GB,476 µs,1.80 s
854,9.82 MB,10.2 GB,515 µs,1.80 s
855,9.82 MB,10.2 GB,450 µs,1.80 s
856,9.82 MB,10.2 GB,450 µs,1.80 s
857,9.82 MB,10.2 GB,450 µs,1.80 s
858,9.82 MB,10.2 GB,450 µs,114 µs
859,9.82 MB,10.2 GB,450 µs,117 µs
860,9.82 MB,10.2 GB,450 µs,119 µs
861,9.82 MB,10.2 GB,450 µs,122 µs
862,9.82 MB,10.2 GB,450 µs,124 µs
863,9.82 MB,10.2 GB,450 µs,126 µs
864,9.82 MB,10.2 GB,450 µs,145 µs
865,9.82 MB,10.2 GB,450 µs,145 µs
866,9.82 MB,10.2 GB,450 µs,127 µs
867,9.82 MB,10.2 GB,383 µs,125 µs
868,9.82 MB,10.2 GB,383 µs,122 µs
869,9.38 MB,10.2 GB,405 µs,120 µs
870,9.38 MB,10.2 GB,405 µs,118 µs
871,9.38 MB,10.2 GB,405 µs,148 µs
872,9.38 MB,10.2 GB,405 µs,148 µs
873,9.38 MB,10.2 GB,405 µs,148 µs
874,9.38 MB,10.2 GB,405 µs,148 µs
875,9.38 MB,10.2 GB,405 µs,148 µs
