"Time","GPU 0","GPU 0"
2025-09-18 11:08:04,63%,
2025-09-18 11:08:06,64%,
2025-09-18 11:08:08,60%,
2025-09-18 11:08:10,25%,
2025-09-18 11:08:12,65%,
2025-09-18 11:08:14,63%,
2025-09-18 11:08:16,66%,
2025-09-18 11:08:18,66%,
2025-09-18 11:08:20,67%,
2025-09-18 11:08:22,63%,
2025-09-18 11:08:24,60%,
2025-09-18 11:08:26,58%,
2025-09-18 11:08:28,57%,
2025-09-18 11:08:30,45%,
2025-09-18 11:08:32,62%,
2025-09-18 11:08:34,62%,
2025-09-18 11:08:36,63%,
2025-09-18 11:08:38,62%,
2025-09-18 11:08:40,59%,
2025-09-18 11:08:42,65%,
2025-09-18 11:08:44,62%,
2025-09-18 11:08:46,62%,
2025-09-18 11:08:48,46%,
2025-09-18 11:08:50,65%,
2025-09-18 11:08:52,66%,
2025-09-18 11:08:54,60%,
2025-09-18 11:08:56,62%,
2025-09-18 11:08:58,62%,
2025-09-18 11:09:00,60%,
2025-09-18 11:09:02,63%,
2025-09-18 11:09:04,16%,
2025-09-18 11:09:06,63%,
2025-09-18 11:09:08,64%,
2025-09-18 11:09:10,63%,
2025-09-18 11:09:12,65%,
2025-09-18 11:09:14,65%,
2025-09-18 11:09:16,64%,
2025-09-18 11:09:18,63%,
2025-09-18 11:09:20,65%,
2025-09-18 11:09:22,64%,
2025-09-18 11:09:24,63%,
2025-09-18 11:09:26,63%,
2025-09-18 11:09:28,61%,
2025-09-18 11:09:30,63%,
2025-09-18 11:09:32,61%,
2025-09-18 11:09:34,59%,
2025-09-18 11:09:36,62%,
2025-09-18 11:09:38,0%,
2025-09-18 11:09:40,63%,
2025-09-18 11:09:42,68%,
2025-09-18 11:09:44,67%,
2025-09-18 11:09:46,67%,
2025-09-18 11:09:48,66%,
2025-09-18 11:09:50,67%,
2025-09-18 11:09:52,63%,
2025-09-18 11:09:54,62%,
2025-09-18 11:09:56,51%,
2025-09-18 11:09:58,61%,
2025-09-18 11:10:00,64%,
2025-09-18 11:10:02,65%,
2025-09-18 11:10:04,61%,
2025-09-18 11:10:06,62%,
2025-09-18 11:10:08,63%,
2025-09-18 11:10:10,59%,
2025-09-18 11:10:12,66%,
2025-09-18 11:10:14,65%,
2025-09-18 11:10:16,66%,
2025-09-18 11:10:18,67%,
2025-09-18 11:10:20,67%,
2025-09-18 11:10:22,63%,
2025-09-18 11:10:24,62%,
2025-09-18 11:10:26,56%,
2025-09-18 11:10:28,61%,
2025-09-18 11:10:30,62%,
2025-09-18 11:10:32,60%,
2025-09-18 11:10:34,60%,
2025-09-18 11:10:36,61%,
2025-09-18 11:10:38,46%,
2025-09-18 11:10:40,60%,
2025-09-18 11:10:42,64%,
2025-09-18 11:10:44,59%,
2025-09-18 11:10:46,64%,
2025-09-18 11:10:48,64%,
2025-09-18 11:10:50,61%,
2025-09-18 11:10:52,61%,
2025-09-18 11:10:54,61%,
2025-09-18 11:10:56,55%,
2025-09-18 11:10:58,45%,
2025-09-18 11:11:00,61%,
