Index,AUTO-cpu-revision,AUTO-gpu-revision,CPU,GPU
524,,,5.16,
525,,,5.357999999999999,
526,,,5.571999999999999,
527,,,5.571999999999999,
528,,,5.571999999999999,
529,,,5.568,
530,,,5.574,
531,,,5.574,
532,,,5.574,
533,,,5.574,
534,,,5.576,
535,,,5.576,
536,,,5.576,
537,,,5.584,
538,,,5.576,
539,,,5.576,
540,,,5.58,
541,,,5.578,
542,,,5.578,
543,,,5.578,
544,,,5.578,
545,,,5.582000000000001,
546,,,5.582000000000001,
547,,,5.582000000000001,
548,,,5.582000000000001,
549,,,5.162,
550,,,5.2,
551,,,5.2299999999999995,
552,,,5.390000000000001,
553,,,5.276000000000001,
554,,,5.276000000000001,
555,,,5.398000000000001,
556,,,5.2,
557,,,5.5760000000000005,
558,,,5.5760000000000005,
559,,,5.428,
560,,,5.406000000000001,
561,,,5.5680000000000005,
562,,,5.5680000000000005,
563,,,5.372,
564,,,5.264,
565,,,5.264,
566,,,5.066,
567,,,5.212000000000001,
568,,,5.382,
569,,,5.362,
570,,,5.586,
571,,,5.428,
572,,,5.41,
573,,,5.58,
574,,,5.4,
575,,,5.572,
576,,,5.572,
577,,,5.57,
578,,,5.57,
579,,,5.566000000000001,
580,,,5.566000000000001,
581,,,5.566000000000001,
582,,,5.566000000000001,
583,,,5.566000000000001,
584,,,5.566000000000001,
585,,,5.566000000000001,
586,,,5.352,
587,,,5.358,
588,,,5.3759999999999994,
589,,,5.542,
590,,,5.542,
591,,,5.542,
592,,,5.542,
593,,,5.542,
594,,,5.540000000000001,
595,,,5.358,
596,,,5.536,
597,,,5.536,
598,,,5.536,
599,,,5.53,
600,,,5.53,
601,,,5.522,
602,,,5.356,
603,,,5.337999999999999,
604,,,5.319999999999999,
605,,,5.382,
606,,,5.526,
607,,,5.526,
608,,,5.526,
609,,,5.526,
610,,,5.526,
611,,,5.526,
612,,,5.334,
613,,,5.352,
614,,,5.37,
615,,,5.39,
616,,,5.536,
617,,,5.182,
618,,,5.182,
619,,,5.522,
620,,,5.37,
621,,,5.388,
622,,,5.53,
623,,,5.53,
624,,,5.53,
625,,,5.532,
626,,,5.532,
627,,,5.532,
628,,,5.532,
629,,,5.532,
630,,,5.546,
631,,,5.546,
632,,,5.546,
633,,,5.546,
634,,,5.394,
635,,,5.386,
