step,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu-2_queue-proxy,cpu-cpu-2_user-container,cpu-cpu-1_queue-proxy,cpu-cpu-1_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,ram-cpu-2_queue-proxy,ram-cpu-2_user-container,ram-cpu-1_queue-proxy,ram-cpu-1_user-container,gpu_gpu_0
65,7.31 MB,16.1 MB,,,518 µs,1.09 ms,673 µs,5.21 ms,,,8.01 MB,16.1 MB,0%
66,7.31 MB,16.1 MB,,,476 µs,1.09 ms,700 µs,5.47 ms,,,8.02 MB,16.1 MB,0%
67,7.31 MB,16.1 MB,,,476 µs,1.09 ms,727 µs,5.73 ms,,,8.02 MB,16.1 MB,0%
68,7.31 MB,16.1 MB,,,476 µs,1.09 ms,753 µs,5.99 ms,,,8.02 MB,16.1 MB,0%
69,7.31 MB,16.1 MB,,,476 µs,1.09 ms,780 µs,6.25 ms,,,8.02 MB,16.1 MB,0%
70,7.31 MB,16.1 MB,,,476 µs,1.09 ms,618 µs,6.51 ms,,,8.02 MB,16.1 MB,0%
71,7.73 MB,16.1 MB,,,476 µs,1.09 ms,571 µs,6.77 ms,,,8.02 MB,16.1 MB,0%
72,7.73 MB,16.1 MB,,,476 µs,340 µs,589 µs,7.04 ms,,,8.02 MB,16.1 MB,0%
73,7.73 MB,16.1 MB,,,260 µs,349 µs,607 µs,7.30 ms,,,8.02 MB,16.1 MB,0%
74,7.73 MB,16.2 MB,,,266 µs,358 µs,625 µs,6.98 ms,,,8.02 MB,16.1 MB,0%
75,7.73 MB,16.2 MB,,,272 µs,367 µs,643 µs,7.22 ms,,,8.02 MB,16.1 MB,0%
76,7.73 MB,16.2 MB,,,279 µs,376 µs,661 µs,7.46 ms,,,8.02 MB,16.1 MB,0%
77,7.73 MB,16.2 MB,,,285 µs,385 µs,679 µs,7.70 ms,,,8.02 MB,16.1 MB,0%
78,7.73 MB,16.2 MB,,,292 µs,232 µs,697 µs,7.94 ms,,,8.02 MB,16.1 MB,0%
79,7.73 MB,16.2 MB,,,298 µs,237 µs,715 µs,8.18 ms,,,8.02 MB,16.1 MB,0%
80,7.73 MB,16.2 MB,,,276 µs,242 µs,733 µs,8.42 ms,,,8.08 MB,16.1 MB,0%
81,7.73 MB,16.2 MB,,,282 µs,248 µs,751 µs,8.66 ms,,,8.08 MB,16.1 MB,0%
82,7.73 MB,16.2 MB,,,288 µs,253 µs,769 µs,8.90 ms,,,8.08 MB,16.1 MB,0%
83,7.73 MB,16.2 MB,,,293 µs,258 µs,787 µs,9.14 ms,,,8.08 MB,16.1 MB,0%
84,7.73 MB,16.2 MB,,,299 µs,316 µs,670 µs,9.38 ms,,,8.08 MB,16.1 MB,0%
85,7.73 MB,16.2 MB,,,347 µs,316 µs,670 µs,9.62 ms,,,8.08 MB,16.1 MB,0%
86,7.73 MB,16.2 MB,,,347 µs,316 µs,670 µs,9.87 ms,,,8.08 MB,16.1 MB,0%
87,7.61 MB,16.2 MB,,,347 µs,316 µs,733 µs,10.1 ms,,,8.08 MB,16.1 MB,0%
88,7.61 MB,16.2 MB,,,347 µs,316 µs,748 µs,10.3 ms,,,8.08 MB,16.1 MB,0%
89,7.61 MB,16.2 MB,,,347 µs,316 µs,763 µs,8.50 ms,,,8.08 MB,16.1 MB,0%
90,7.61 MB,16.2 MB,,,347 µs,316 µs,778 µs,8.50 ms,,,8.08 MB,16.1 MB,0%
91,7.61 MB,16.2 MB,,,347 µs,316 µs,892 µs,8.50 ms,,,8.08 MB,16.1 MB,0%
92,7.61 MB,16.2 MB,,,347 µs,316 µs,907 µs,8.50 ms,,,8.08 MB,16.1 MB,0%
93,7.61 MB,16.2 MB,,,347 µs,316 µs,908 µs,8.50 ms,,,8.08 MB,16.1 MB,0%
94,7.61 MB,16.2 MB,,,347 µs,316 µs,908 µs,8.50 ms,,,8.08 MB,16.1 MB,0%
95,7.61 MB,16.2 MB,,,295 µs,316 µs,908 µs,8.50 ms,,,8.08 MB,16.1 MB,0%
96,7.61 MB,16.2 MB,,,289 µs,316 µs,908 µs,11.4 ms,,,8.08 MB,16.1 MB,0%
97,7.61 MB,16.2 MB,,,335 µs,260 µs,908 µs,11.6 ms,,,8.37 MB,16.1 MB,0%
98,7.61 MB,16.2 MB,,,335 µs,255 µs,908 µs,11.9 ms,,,8.37 MB,16.1 MB,0%
99,7.61 MB,16.2 MB,,,245 µs,224 µs,908 µs,12.1 ms,,,8.37 MB,16.1 MB,0%
100,7.61 MB,16.2 MB,,,250 µs,224 µs,908 µs,12.3 ms,,,8.37 MB,16.1 MB,0%
101,7.61 MB,16.2 MB,,,293 µs,224 µs,908 µs,12.5 ms,,,8.37 MB,16.1 MB,0%
102,7.61 MB,16.2 MB,,,293 µs,224 µs,783 µs,12.8 ms,,,8.37 MB,16.1 MB,0%
103,7.61 MB,16.2 MB,,,293 µs,80.7 µs,767 µs,13.0 ms,,,8.37 MB,16.1 MB,0%
104,7.61 MB,16.2 MB,,,293 µs,80.7 µs,752 µs,13.2 ms,,,8.37 MB,16.1 MB,0%
105,7.61 MB,16.2 MB,,,293 µs,80.7 µs,737 µs,13.4 ms,,,8.37 MB,16.1 MB,0%
106,7.61 MB,16.2 MB,,,293 µs,80.7 µs,514 µs,12.2 ms,,,8.37 MB,16.1 MB,0%
107,7.74 MB,16.2 MB,,,293 µs,80.7 µs,627 µs,12.2 ms,,,8.37 MB,16.1 MB,0%
108,7.74 MB,16.2 MB,,,293 µs,80.7 µs,627 µs,12.2 ms,,,8.37 MB,16.1 MB,0%
109,7.74 MB,16.2 MB,,,293 µs,80.7 µs,627 µs,12.2 ms,,,8.37 MB,16.1 MB,0%
110,7.74 MB,16.2 MB,,,293 µs,80.7 µs,627 µs,12.2 ms,,,8.37 MB,16.1 MB,0%
111,7.74 MB,16.2 MB,,,293 µs,80.7 µs,627 µs,12.2 ms,,,8.37 MB,16.1 MB,0%
112,7.74 MB,16.2 MB,,,250 µs,80.7 µs,627 µs,12.2 ms,,,8.37 MB,16.1 MB,0%
113,7.74 MB,16.2 MB,,,245 µs,80.7 µs,627 µs,12.4 ms,,,8.37 MB,16.1 MB,0%
114,7.74 MB,16.2 MB,,,294 µs,80.7 µs,627 µs,12.4 ms,,,8.18 MB,16.1 MB,0%
115,7.74 MB,16.2 MB,,,294 µs,80.7 µs,627 µs,12.4 ms,,,8.18 MB,16.1 MB,0%
116,7.74 MB,16.2 MB,,,295 µs,70.4 µs,627 µs,12.4 ms,,,8.18 MB,16.1 MB,0%
117,7.74 MB,16.2 MB,,,295 µs,70.4 µs,627 µs,12.4 ms,,,8.18 MB,16.1 MB,0%
118,7.74 MB,16.2 MB,,,295 µs,70.4 µs,627 µs,12.4 ms,,,8.18 MB,16.1 MB,0%
119,7.81 MB,16.2 MB,,,295 µs,70.4 µs,636 µs,12.4 ms,,,8.18 MB,16.1 MB,0%
120,7.81 MB,16.2 MB,,,295 µs,70.4 µs,636 µs,12.4 ms,,,8.18 MB,16.1 MB,0%
121,7.81 MB,16.2 MB,,,295 µs,61.6 µs,636 µs,12.4 ms,,,8.18 MB,16.1 MB,0%
122,7.81 MB,16.2 MB,,,295 µs,61.6 µs,636 µs,12.4 ms,,,8.18 MB,16.1 MB,0%
123,7.81 MB,16.2 MB,,,295 µs,61.6 µs,636 µs,12.4 ms,,,8.18 MB,16.1 MB,0%
124,7.81 MB,16.2 MB,,,295 µs,61.6 µs,636 µs,12.4 ms,,,8.18 MB,16.1 MB,0%
125,7.81 MB,16.2 MB,,,281 µs,61.6 µs,636 µs,12.4 ms,,,8.31 MB,16.1 MB,0%
126,7.81 MB,16.2 MB,,,282 µs,61.6 µs,636 µs,12.4 ms,,,8.31 MB,16.1 MB,0%
127,7.81 MB,16.2 MB,,,282 µs,61.6 µs,636 µs,12.4 ms,,,8.31 MB,16.1 MB,0%
128,7.81 MB,16.2 MB,,,282 µs,61.6 µs,636 µs,12.4 ms,,,8.31 MB,16.1 MB,0%
129,7.81 MB,16.2 MB,,,282 µs,61.6 µs,636 µs,12.4 ms,,,8.31 MB,16.1 MB,0%
130,7.81 MB,16.2 MB,,,282 µs,44.5 µs,636 µs,12.4 ms,,,8.31 MB,16.1 MB,0%
131,7.81 MB,16.2 MB,,,282 µs,44.5 µs,628 µs,12.4 ms,,,8.31 MB,16.1 MB,0%
132,7.81 MB,16.2 MB,,,282 µs,44.5 µs,628 µs,12.4 ms,,,8.31 MB,16.1 MB,0%
133,7.81 MB,16.2 MB,,,282 µs,44.5 µs,628 µs,12.4 ms,,,8.31 MB,16.1 MB,0%
134,7.81 MB,16.2 MB,,,282 µs,44.5 µs,628 µs,9.56 ms,,,8.31 MB,16.1 MB,0%
135,7.81 MB,16.2 MB,,,282 µs,44.5 µs,628 µs,9.77 ms,,,8.31 MB,16.1 MB,0%
136,7.81 MB,16.2 MB,,,282 µs,44.5 µs,628 µs,9.98 ms,,,8.31 MB,16.1 MB,0%
137,8.00 MB,16.2 MB,,,282 µs,44.5 µs,632 µs,10.2 ms,,,8.31 MB,16.1 MB,0%
138,8.00 MB,16.2 MB,,,282 µs,19.2 µs,632 µs,8.64 ms,,,8.31 MB,16.1 MB,0%
139,8.00 MB,16.2 MB,,,282 µs,19.6 µs,632 µs,8.64 ms,,,8.31 MB,16.1 MB,0%
140,8.00 MB,16.2 MB,,,225 µs,20.0 µs,632 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
141,8.00 MB,16.2 MB,,,225 µs,20.4 µs,632 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
142,8.00 MB,16.2 MB,,,221 µs,24.6 µs,632 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
143,8.00 MB,16.2 MB,,,216 µs,24.6 µs,632 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
144,8.00 MB,16.2 MB,,,212 µs,24.6 µs,632 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
145,8.00 MB,16.2 MB,,,208 µs,24.6 µs,632 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
146,8.00 MB,16.2 MB,,,203 µs,24.6 µs,632 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
147,8.00 MB,16.2 MB,,,199 µs,20.7 µs,522 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
148,8.00 MB,16.2 MB,,,194 µs,20.3 µs,533 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
149,8.00 MB,16.2 MB,,,190 µs,19.9 µs,543 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
150,8.00 MB,16.2 MB,,,185 µs,19.5 µs,648 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
151,8.00 MB,16.2 MB,,,181 µs,19.1 µs,648 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
152,8.00 MB,16.2 MB,,,176 µs,18.7 µs,648 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
153,8.00 MB,16.2 MB,,,172 µs,18.2 µs,648 µs,12.7 ms,,,8.31 MB,16.1 MB,0%
154,8.00 MB,16.2 MB,,,168 µs,17.8 µs,546 µs,12.9 ms,,,8.31 MB,16.1 MB,0%
155,8.00 MB,16.2 MB,,,163 µs,17.4 µs,536 µs,12.9 ms,,,8.31 MB,16.1 MB,0%
156,8.00 MB,16.2 MB,,,159 µs,17.0 µs,525 µs,11.0 ms,,,8.31 MB,16.1 MB,0%
157,8.00 MB,16.2 MB,,,82.2 µs,16.6 µs,514 µs,13.0 ms,,,8.31 MB,16.1 MB,0%
158,8.00 MB,16.2 MB,,,82.2 µs,16.2 µs,503 µs,13.0 ms,,,8.31 MB,16.1 MB,0%
159,8.00 MB,16.2 MB,,,82.2 µs,0 s,492 µs,13.0 ms,,,8.31 MB,16.1 MB,0%
160,8.28 MB,16.2 MB,,,82.2 µs,0 s,651 µs,13.0 ms,,,8.31 MB,16.1 MB,0%
161,8.28 MB,16.2 MB,,,82.2 µs,0 s,651 µs,13.0 ms,,,8.31 MB,16.1 MB,0%
162,8.28 MB,16.2 MB,,,104 µs,0 s,651 µs,13.0 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
163,8.28 MB,16.2 MB,,,100 µs,0 s,651 µs,13.0 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
164,8.28 MB,16.2 MB,,,96.7 µs,0 s,651 µs,13.0 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
165,8.28 MB,16.2 MB,,,93.0 µs,0 s,651 µs,13.0 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
166,8.28 MB,16.2 MB,,,89.3 µs,0 s,651 µs,13.0 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
167,8.28 MB,16.2 MB,,,85.6 µs,0 s,647 µs,13.0 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
168,8.28 MB,16.2 MB,,,81.9 µs,0 s,647 µs,13.0 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
169,8.28 MB,16.2 MB,,,78.2 µs,0 s,647 µs,13.0 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
170,8.28 MB,16.2 MB,,,74.5 µs,0 s,647 µs,11.0 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
171,8.28 MB,16.2 MB,,,70.9 µs,0 s,647 µs,10.8 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
172,8.28 MB,16.2 MB,,,67.2 µs,0 s,647 µs,10.6 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
173,8.33 MB,16.2 MB,,,63.5 µs,0 s,592 µs,10.4 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
174,8.33 MB,16.2 MB,,,,0 s,592 µs,10.4 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
175,8.33 MB,16.2 MB,,,,0 s,592 µs,10.4 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
176,8.33 MB,16.2 MB,,,,,592 µs,10.4 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
177,8.33 MB,16.2 MB,,,,,592 µs,10.4 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
178,8.33 MB,16.2 MB,,,,,592 µs,10.4 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
179,8.33 MB,16.2 MB,,,,,568 µs,10.4 ms,6.59 MB,15.9 MB,8.31 MB,16.1 MB,0%
180,8.33 MB,16.2 MB,336 µs,,,,568 µs,10.4 ms,7.49 MB,15.9 MB,8.31 MB,16.1 MB,0%
181,8.33 MB,16.2 MB,349 µs,686 µs,,,568 µs,10.4 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
182,8.33 MB,16.2 MB,361 µs,710 µs,,,568 µs,10.4 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
183,8.33 MB,16.2 MB,373 µs,733 µs,,,568 µs,9.04 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
184,8.33 MB,16.2 MB,385 µs,757 µs,,,568 µs,9.04 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
185,8.33 MB,16.2 MB,397 µs,780 µs,,,568 µs,9.04 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
186,8.33 MB,16.2 MB,409 µs,804 µs,,,568 µs,9.04 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
187,8.33 MB,16.2 MB,421 µs,827 µs,,,568 µs,6.35 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
188,8.33 MB,16.2 MB,433 µs,851 µs,,,568 µs,6.35 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
189,8.33 MB,16.2 MB,446 µs,874 µs,,,568 µs,6.35 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
190,8.33 MB,16.2 MB,458 µs,898 µs,,,568 µs,6.35 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
191,8.47 MB,16.2 MB,470 µs,921 µs,,,518 µs,6.35 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
192,8.47 MB,16.2 MB,482 µs,879 µs,,,518 µs,6.35 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
193,8.47 MB,16.2 MB,494 µs,902 µs,,,518 µs,6.35 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
194,8.47 MB,16.2 MB,506 µs,925 µs,,,518 µs,6.35 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
195,8.47 MB,16.2 MB,518 µs,949 µs,,,518 µs,6.35 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
196,8.47 MB,16.2 MB,530 µs,972 µs,,,518 µs,6.35 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
197,8.47 MB,16.2 MB,543 µs,995 µs,,,317 µs,6.35 ms,7.49 MB,16.1 MB,8.31 MB,16.1 MB,0%
198,8.47 MB,16.2 MB,500 µs,1.02 ms,,,324 µs,6.35 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
199,8.47 MB,16.2 MB,512 µs,1.04 ms,,,331 µs,6.35 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
200,8.47 MB,16.2 MB,523 µs,1.06 ms,,,338 µs,3.34 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
201,8.47 MB,16.2 MB,534 µs,1.09 ms,,,345 µs,3.34 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
202,8.47 MB,16.2 MB,661 µs,1.11 ms,,,352 µs,3.34 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
203,8.47 MB,16.2 MB,661 µs,1.13 ms,,,420 µs,3.34 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
204,8.47 MB,16.2 MB,661 µs,1.16 ms,,,420 µs,3.34 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
205,8.47 MB,16.2 MB,661 µs,1.39 ms,,,420 µs,3.34 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
206,8.47 MB,16.2 MB,661 µs,1.39 ms,,,420 µs,2.74 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
207,8.47 MB,16.2 MB,661 µs,1.39 ms,,,420 µs,2.68 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
208,8.47 MB,16.2 MB,661 µs,1.18 ms,,,420 µs,2.63 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
209,8.47 MB,16.2 MB,661 µs,1.15 ms,,,393 µs,2.57 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
210,8.47 MB,16.2 MB,661 µs,1.13 ms,,,393 µs,2.52 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
211,8.47 MB,16.2 MB,661 µs,1.11 ms,,,393 µs,2.46 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
212,8.47 MB,16.2 MB,661 µs,1.09 ms,,,393 µs,2.41 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
213,8.47 MB,16.2 MB,661 µs,1.06 ms,,,393 µs,2.35 ms,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
214,8.47 MB,16.2 MB,661 µs,1.04 ms,,,393 µs,39.4 µs,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
215,8.47 MB,16.2 MB,661 µs,1.02 ms,,,393 µs,39.4 µs,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
216,8.47 MB,16.2 MB,661 µs,993 µs,,,393 µs,39.4 µs,7.85 MB,16.1 MB,8.31 MB,16.1 MB,0%
217,8.47 MB,16.2 MB,648 µs,970 µs,,,393 µs,39.4 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
218,8.47 MB,16.2 MB,648 µs,947 µs,,,393 µs,50.0 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
219,8.47 MB,16.2 MB,648 µs,924 µs,,,393 µs,48.6 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
220,8.47 MB,16.2 MB,648 µs,901 µs,,,386 µs,47.2 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
221,8.47 MB,16.2 MB,648 µs,1.37 ms,,,386 µs,45.9 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
222,8.47 MB,16.2 MB,607 µs,1.35 ms,,,386 µs,76.0 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
223,8.47 MB,16.2 MB,607 µs,1.35 ms,,,386 µs,76.0 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
224,8.47 MB,16.2 MB,607 µs,1.35 ms,,,386 µs,76.0 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
225,8.47 MB,16.2 MB,607 µs,1.35 ms,,,386 µs,76.0 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
226,8.47 MB,16.2 MB,607 µs,1.35 ms,,,386 µs,76.0 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
227,8.47 MB,16.2 MB,607 µs,1.35 ms,,,386 µs,76.0 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
228,8.47 MB,16.2 MB,607 µs,1.35 ms,,,386 µs,76.0 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
229,8.52 MB,16.2 MB,607 µs,1.35 ms,,,352 µs,76.0 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
230,8.52 MB,16.2 MB,607 µs,1.35 ms,,,352 µs,76.0 µs,7.66 MB,16.1 MB,8.31 MB,16.1 MB,0%
231,8.52 MB,16.2 MB,618 µs,1.35 ms,,,352 µs,76.0 µs,7.74 MB,16.1 MB,8.31 MB,16.1 MB,0%
232,8.52 MB,16.2 MB,618 µs,1.34 ms,,,352 µs,76.0 µs,7.74 MB,16.1 MB,8.31 MB,16.1 MB,0%
233,8.52 MB,16.2 MB,618 µs,1.34 ms,,,314 µs,56.1 µs,7.74 MB,16.1 MB,8.31 MB,16.1 MB,0%
