step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
291,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,598 µs,966 ms,61%
292,,,,,,,,,
293,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,564 µs,966 ms,36%
294,,,,,,,,,
295,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,564 µs,847 ms,65%
296,,,,,,,,,
297,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,564 µs,815 ms,63%
298,,,,,,,,,
299,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,564 µs,783 ms,21%
300,,,,,,,,,
301,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,564 µs,966 ms,61%
302,,,,,,,,,
303,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,564 µs,966 ms,65%
304,,,,,,,,,
305,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,483 µs,965 ms,62%
306,,,,,,,,,
307,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,464 µs,965 ms,63%
308,,,,,,,,,
309,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,445 µs,965 ms,57%
310,,,,,,,,,
311,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,425 µs,965 ms,59%
312,,,,,,,,,
313,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,406 µs,965 ms,58%
314,,,,,,,,,
315,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,387 µs,965 ms,56%
316,,,,,,,,,
317,8.99 MB,5.73 GB,8.33 MB,6.23 GB,,,367 µs,965 ms,58%
318,,,,,,,,,
319,8.99 MB,5.73 GB,8.42 MB,6.23 GB,,,562 µs,966 ms,58%
320,,,,,,,,,
321,8.99 MB,5.73 GB,8.42 MB,6.23 GB,,,562 µs,966 ms,56%
322,,,,,,,,,
323,8.99 MB,5.73 GB,8.42 MB,6.23 GB,,,562 µs,966 ms,58%
324,,,,,,,,,
325,8.99 MB,5.73 GB,8.42 MB,6.23 GB,,,562 µs,966 ms,58%
326,,,,,,,,,
327,8.99 MB,5.73 GB,8.42 MB,6.23 GB,,,562 µs,966 ms,60%
328,,,,,,,,,
329,8.99 MB,5.73 GB,8.42 MB,6.23 GB,,,562 µs,966 ms,62%
330,,,,,,,,,
331,8.99 MB,5.73 GB,8.46 MB,6.23 GB,,,572 µs,966 ms,61%
332,,,,,,,,,
333,8.99 MB,5.73 GB,8.46 MB,6.23 GB,,,572 µs,966 ms,62%
334,,,,,,,,,
335,8.99 MB,5.73 GB,8.46 MB,6.23 GB,,,579 µs,966 ms,62%
336,,,,,,,,,
337,8.99 MB,5.73 GB,8.46 MB,6.23 GB,,,579 µs,966 ms,57%
338,,,,,,,,,
339,8.99 MB,5.73 GB,8.46 MB,6.23 GB,,,579 µs,966 ms,58%
340,,,,,,,,,
341,8.99 MB,5.73 GB,8.46 MB,6.23 GB,,,579 µs,966 ms,57%
342,,,,,,,,,
343,8.99 MB,5.73 GB,8.47 MB,6.23 GB,,,581 µs,806 ms,57%
344,,,,,,,,,
345,8.99 MB,5.73 GB,8.47 MB,6.23 GB,,,581 µs,967 ms,58%
346,,,,,,,,,
347,8.99 MB,5.73 GB,8.47 MB,6.23 GB,,,581 µs,967 ms,55%
348,,,,,,,,,
349,8.99 MB,5.73 GB,8.47 MB,6.23 GB,,,368 µs,967 ms,59%
350,,,,,,,,,
351,8.99 MB,5.73 GB,8.47 MB,6.23 GB,,,388 µs,967 ms,33%
352,,,,,,,,,
353,8.99 MB,5.73 GB,8.47 MB,6.23 GB,,,408 µs,967 ms,56%
354,,,,,,,,,
355,8.99 MB,5.73 GB,8.47 MB,6.23 GB,,,428 µs,966 ms,61%
356,,,,,,,,,
357,8.99 MB,5.73 GB,8.47 MB,6.23 GB,,,366 µs,966 ms,61%
358,,,,,,,,,
359,8.99 MB,5.73 GB,8.51 MB,6.23 GB,,,472 µs,966 ms,63%
360,,,,,,,,,
361,8.99 MB,5.73 GB,8.51 MB,6.23 GB,,,491 µs,966 ms,62%
362,,,,,,,,,
363,8.99 MB,5.73 GB,8.51 MB,6.23 GB,,,511 µs,966 ms,62%
364,,,,,,,,,
365,8.99 MB,5.73 GB,8.51 MB,6.23 GB,,,597 µs,968 ms,60%
366,,,,,,,,,
367,8.99 MB,5.73 GB,8.51 MB,6.23 GB,,,597 µs,968 ms,60%
368,,,,,,,,,
369,8.99 MB,5.73 GB,8.51 MB,6.23 GB,,,597 µs,968 ms,60%
370,,,,,,,,,
371,8.99 MB,5.73 GB,8.51 MB,6.23 GB,,,597 µs,968 ms,60%
372,,,,,,,,,
373,8.99 MB,5.73 GB,8.51 MB,6.23 GB,,,597 µs,968 ms,62%
374,,,,,,,,,
375,8.99 MB,5.73 GB,8.51 MB,6.23 GB,,,499 µs,968 ms,66%
376,,,,,,,,,
377,8.99 MB,5.73 GB,8.51 MB,6.23 GB,,,479 µs,968 ms,63%
378,,,,,,,,,
379,8.99 MB,5.73 GB,8.52 MB,6.23 GB,,,603 µs,827 ms,65%
380,,,,,,,,,
381,8.99 MB,5.73 GB,8.52 MB,6.23 GB,,,603 µs,795 ms,63%
382,,,,,,,,,
383,8.99 MB,5.73 GB,8.52 MB,6.23 GB,,,603 µs,762 ms,36%
384,,,,,,,,,
385,8.99 MB,5.73 GB,8.52 MB,6.23 GB,,,603 µs,968 ms,65%
386,,,,,,,,,
387,8.99 MB,5.73 GB,8.52 MB,6.23 GB,,,603 µs,968 ms,63%
388,,,,,,,,,
389,8.99 MB,5.73 GB,8.52 MB,6.23 GB,,,603 µs,968 ms,65%
390,,,,,,,,,
391,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,608 µs,968 ms,67%
392,,,,,,,,,
393,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,608 µs,968 ms,66%
394,,,,,,,,,
395,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,608 µs,968 ms,66%
396,,,,,,,,,
397,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,608 µs,968 ms,62%
398,,,,,,,,,
399,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,608 µs,968 ms,61%
400,,,,,,,,,
401,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,608 µs,967 ms,62%
402,,,,,,,,,
403,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,606 µs,967 ms,59%
404,,,,,,,,,
405,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,606 µs,967 ms,47%
406,,,,,,,,,
407,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,606 µs,967 ms,62%
408,,,,,,,,,
409,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,606 µs,967 ms,65%
410,,,,,,,,,
411,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,606 µs,967 ms,63%
412,,,,,,,,,
413,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,606 µs,967 ms,63%
414,,,,,,,,,
415,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,606 µs,966 ms,62%
416,,,,,,,,,
417,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,517 µs,966 ms,62%
418,,,,,,,,,
419,8.99 MB,5.73 GB,8.54 MB,6.23 GB,,,343 µs,966 ms,64%
420,,,,,,,,,
421,8.99 MB,5.73 GB,8.59 MB,6.23 GB,,,481 µs,966 ms,65%
422,,,,,,,,,
423,8.99 MB,5.73 GB,8.59 MB,6.23 GB,,,579 µs,966 ms,63%
424,,,,,,,,,
425,8.99 MB,5.73 GB,8.59 MB,6.23 GB,,,579 µs,782 ms,55%
426,,,,,,,,,
427,8.99 MB,5.73 GB,8.59 MB,6.23 GB,,,579 µs,815 ms,63%
428,,,,,,,,,
429,8.99 MB,5.73 GB,8.59 MB,6.23 GB,,,579 µs,964 ms,62%
430,,,,,,,,,
431,8.99 MB,5.73 GB,8.59 MB,6.23 GB,,,579 µs,964 ms,64%
432,,,,,,,,,
433,8.99 MB,5.73 GB,8.59 MB,6.23 GB,,,579 µs,795 ms,61%
434,,,,,,,,,
435,8.99 MB,5.73 GB,8.59 MB,6.23 GB,,,497 µs,763 ms,64%
436,,,,,,,,,
437,8.99 MB,5.73 GB,8.59 MB,6.23 GB,,,576 µs,731 ms,62%
438,,,,,,,,,
439,8.99 MB,5.73 GB,8.59 MB,6.23 GB,,,567 µs,699 ms,55%
440,,,,,,,,,
441,8.99 MB,5.73 GB,8.59 MB,6.23 GB,,,567 µs,667 ms,20%
442,,,,,,,,,
443,8.99 MB,5.73 GB,8.59 MB,6.23 GB,,,567 µs,634 ms,61%
