,response_time_ms
124,2301.6369342803955
125,2257.598876953125
126,2223.3316898345947
127,2274.713039398194
128,2175.884008407593
129,2164.433240890503
130,2212.496757507324
131,2153.855085372925
132,2187.7057552337646
133,2309.64994430542
134,2258.3940029144287
135,2231.2228679656982
136,2269.864082336426
137,2454.8439979553223
138,2236.4771366119385
139,2263.2739543914795
140,2267.2879695892334
141,2127.185106277466
142,2158.459186553955
143,2201.564311981201
144,2150.2809524536133
145,2190.3460025787354
146,2254.127025604248
147,2281.2139987945557
148,2241.1298751831055
149,1732.5148582458496
150,2298.7749576568604
151,2303.579092025757
152,2240.9067153930664
153,2371.2267875671387
154,2223.327159881592
155,2158.733129501343
156,2168.926954269409
157,2217.4997329711914
158,2175.0197410583496
159,2164.815902709961
160,2291.6650772094727
161,2306.1060905456543
162,2261.0061168670654
163,2245.2008724212646
164,2263.054847717285
165,2242.3040866851807
166,2257.1020126342773
167,2283.9879989624023
168,1904.3891429901123
169,2164.9441719055176
170,2211.949110031128
171,2175.257921218872
172,2151.111841201782
173,2151.7460346221924
174,2281.777858734131
175,2251.297950744629
176,2322.9990005493164
177,2249.3748664855957
178,2314.7478103637695
179,2294.981002807617
180,2239.8841381073
181,2224.5678901672363
182,2153.032064437866
183,2034.9488258361816
184,2206.450939178467
185,2156.7890644073486
186,2200.680732727051
187,2239.6717071533203
188,2230.7379245758057
189,2247.2193241119385
190,2287.1029376983643
191,2269.08802986145
192,2260.272264480591
193,2230.907201766968
194,2286.0658168792725
195,2153.72896194458
196,2173.5470294952393
197,2123.828887939453
198,2216.243028640747
199,2174.4930744171143
200,2226.4671325683594
201,2249.657154083252
202,2261.786937713623
203,2274.148941040039
204,2284.0819358825684
205,2311.913013458252
206,2267.134189605713
207,2284.444808959961
208,2253.8797855377197
209,2172.3361015319824
210,2294.3830490112305
211,2198.1539726257324
212,2202.521800994873
213,2204.488754272461
214,2283.374071121216
215,2238.0800247192383
216,2277.393341064453
217,2329.6005725860596
218,2160.2280139923096
219,2265.777111053467
220,2274.381160736084
221,2287.6651287078857
222,2145.019054412842
223,1342.1378135681152
224,2142.557382583618
225,2195.797920227051
226,2160.2020263671875
227,2191.847801208496
228,2251.4290809631348
229,2272.921085357666
230,2379.7340393066406
231,2302.1490573883057
232,2284.235954284668
233,2168.333053588867
234,2354.4921875
235,2294.106960296631
236,2164.557695388794
237,2170.47119140625
238,2179.9800395965576
239,2170.415163040161
240,2176.398754119873
241,2253.5178661346436
242,2263.170003890991
243,2263.4589672088623
244,2243.166923522949
245,2261.9590759277344
246,2232.7659130096436
247,2085.758924484253
248,2265.316963195801
249,2244.231939315796
250,2172.581911087036
251,2193.0408477783203
252,2080.322027206421
253,2188.231945037842
254,2315.9079551696777
255,2046.7450618743896
256,2281.252145767212
257,2323.083877563477
