Execution Mode,Response Time
GPU,2082.3494911193848
GPU,2079.176425933838
GPU,2082.5132846832275
GPU,2093.8022136688232
GPU,2080.3415298461914
GPU,2088.8107776641846
GPU,2081.831693649292
GPU,2092.7698612213135
GPU,2119.343042373657
GPU,2087.5675201416016
GPU,2077.3707389831543
GPU,2080.0260066986084
GPU,2085.1651668548584
GPU,2076.5151977539062
GPU,2076.9397735595703
GPU,2086.2420558929443
GPU,2082.7205657958984
GPU,2091.218137741089
GPU,2097.977113723755
GPU,2093.0253505706787
GPU,2081.0848236083984
GPU,2078.709554672241
GPU,2098.1112003326416
GPU,2089.437675476074
GPU,2079.359197616577
GPU,2087.466859817505
GPU,2080.8968544006348
GPU,2078.9329051971436
GPU,2101.843786239624
GPU,2076.623249053955
GPU,2094.261360168457
GPU,2097.1240520477295
GPU,2086.1037254333496
GPU,2086.785840988159
GPU,2099.86515045166
GPU,2138.255739212036
GPU,2093.5516834259033
GPU,2129.3779373168945
GPU,2080.3338050842285
GPU,2093.910598754883
GPU,2093.2681560516357
GPU,2100.080394744873
GPU,2094.3886756896973
GPU,2088.8834476470947
GPU,2079.18119430542
GPU,2077.461290359497
GPU,2078.9026737213135
GPU,2085.9391689300537
GPU,2078.264093399048
GPU,2108.590316772461
GPU,2078.2601833343506
GPU,2078.0811309814453
GPU,2087.2241973876953
GPU,2092.9920196533203
GPU,2094.1572666168213
GPU,2088.4661197662354
GPU,2093.3985233306885
GPU,2087.4677658081055
GPU,2078.601884841919
GPU,2098.5461711883545
GPU,2091.0420894622803
GPU,2087.5322818756104
GPU,2107.7672481536865
GPU,2087.4239444732666
GPU,2076.6823291778564
GPU,2081.2211513519287
GPU,2077.924633026123
GPU,2117.6467895507812
GPU,2089.7547721862793
GPU,2086.2884521484375
GPU,2094.163942337036
GPU,2104.982805252075
GPU,2077.503204345703
GPU,2085.421323776245
GPU,2097.6073265075684
GPU,2086.069631576538
GPU,2116.64400100708
GPU,2080.824899673462
GPU,2076.900339126587
GPU,2077.5936603546143
GPU,2111.4596366882324
GPU,2078.2554149627686
GPU,2080.1512241363525
GPU,2090.4751777648926
GPU,2091.966152191162
GPU,2086.4059448242188
GPU,2103.4685134887695
GPU,2083.0164909362793
GPU,2118.1775093078613
GPU,2095.912551879883
GPU,2081.3636302948
GPU,2087.2517585754395
GPU,2118.225336074829
GPU,2112.5519275665283
GPU,2078.285598754883
GPU,2086.155319213867
GPU,2091.6752338409424
GPU,2119.4180011749268
GPU,2076.5321254730225
GPU,2082.7313899993896
GPU,2098.431634902954
GPU,2098.6222743988037
GPU,2103.809404373169
GPU,2099.0697383880615
GPU,2078.6685943603516
GPU,2076.9229888916016
GPU,2075.0804901123047
GPU,2088.360118865967
GPU,2092.4434185028076
GPU,2089.1549587249756
GPU,2077.893543243408
GPU,2086.173963546753
GPU,2122.289752960205
GPU,2091.3912773132324
GPU,2087.370443344116
GPU,2084.021234512329
GPU,2111.991834640503
Auto,2107.6878547668457
Auto,2097.8033542633057
Auto,2096.576499938965
Auto,2076.3468265533447
Auto,2099.188709259033
Auto,2083.9863777160645
Auto,2080.0557613372803
Auto,2102.1071910858154
Auto,2100.411319732666
Auto,2095.2579975128174
Auto,2079.544448852539
Auto,2082.9545974731445
Auto,2086.9499683380127
Auto,2080.8430671691895
Auto,2088.617181777954
Auto,2081.5152168273926
Auto,2084.8413944244385
Auto,2096.562957763672
Auto,2115.873098373413
Auto,2088.7800216674805
Auto,2089.731788635254
Auto,2115.1238441467285
Auto,2103.979206085205
Auto,2112.9996299743652
Auto,2094.1962242126465
Auto,2107.0122241973877
Auto,2091.729211807251
Auto,2097.4947929382324
Auto,2103.2265186309814
Auto,2104.3403148651123
Auto,2098.340129852295
Auto,2099.1655349731445
Auto,2103.2230377197266
Auto,2108.331775665283
Auto,2092.249011993408
Auto,2109.2257022857666
Auto,2116.0309314727783
Auto,2099.883031845093
Auto,2109.4812393188477
Auto,2119.883108139038
Auto,2130.6122303009033
Auto,2117.3717498779297
Auto,2110.542345046997
Auto,2111.1533164978027
Auto,2116.632843017578
Auto,2109.767198562622
Auto,2117.3898696899414
Auto,2116.402769088745
Auto,2107.7778339385986
Auto,2117.0397758483887
Auto,2111.1132621765137
Auto,2121.6177463531494
Auto,2135.206985473633
Auto,2121.254014968872
Auto,2105.657148361206
Auto,2115.9682273864746
Auto,2111.7730140686035
Auto,2112.641191482544
Auto,2113.153839111328
Auto,2123.621606826782
Auto,2110.491466522217
Auto,2131.572389602661
Auto,2120.1887607574463
Auto,2121.5025901794434
Auto,2108.6252212524414
Auto,2131.934881210327
Auto,2108.6860179901123
Auto,2120.604658126831
Auto,2108.5309505462646
Auto,2141.1056518554688
Auto,2106.720972061157
Auto,2134.386205673218
Auto,2119.9934482574463
Auto,2118.0599689483643
Auto,2122.4315643310547
Auto,2104.1863918304443
Auto,2093.751382827759
Auto,2100.593614578247
Auto,2095.0811862945557
Auto,2118.096399307251
Auto,2100.657558441162
Auto,2095.8834171295166
Auto,2100.1868724823
Auto,2103.677272796631
Auto,2112.7769470214844
Auto,2108.8500022888184
Auto,2115.3059482574463
Auto,2091.8106079101562
Auto,2090.024948120117
Auto,2097.533369064331
Auto,2098.144054412842
Auto,2084.186840057373
Auto,2101.5128135681152
Auto,2123.984909057617
Auto,2080.5702209472656
Auto,2089.3661499023438
Auto,2099.6020793914795
Auto,2091.297388076782
Auto,2092.87486076355
Auto,2105.381393432617
Auto,2083.7528228759766
Auto,2088.1905555725098
Auto,2097.591733932495
Auto,2088.5712146759033
Auto,2097.8312969207764
Auto,2104.3010234832764
Auto,2076.8790245056152
Auto,2092.0336723327637
Auto,2110.2559566497803
Auto,2084.612560272217
Auto,2101.022958755493
Auto,2093.4356212615967
Auto,2086.3457202911377
Auto,2075.4714488983154
Auto,2103.7437915802
Auto,2108.114194869995
Auto,2113.5600566864014
Auto,2077.8677940368652
Auto,2078.1553745269775
Auto,2096.231698989868
Auto,2117.840337753296
Auto,2114.8262977600098
Auto,2118.0896759033203
Auto,2090.805768966675
